index,price,brand,model,year,condition,transmission,fuel_type,kilometers_run
0,2450000,toyota,fielder,2020,reconditioned,automatic,hybrid,86000
1,4500000,toyota,noah,2020,reconditioned,automatic,octane,68000
2,2750000,honda,cr-v,2012,used,automatic,octane,92000
3,1800000,toyota,hilux,2009,used,manual,diesel,1
4,1350000,toyota,passo,2010,used,automatic,"octane, lpg",87369
5,1760000,toyota,axio,2016,used,automatic,"hybrid, octane",66000
6,1395000,toyota,allion,2004,used,automatic,"cng, octane",62581
7,1045000,toyota,corolla,2002,used,automatic,"cng, octane",93682
8,1450000,toyota,prado,1998,used,automatic,"octane, lpg",127000
9,860000,toyota,probox,2008,used,automatic,"cng, octane",79563
10,1720000,toyota,allion,2008,used,automatic,"cng, octane",94012
11,1700000,toyota,land cruiser,1992,used,manual,diesel,541403
12,8600000,toyota,harrier,2022,reconditioned,automatic,hybrid,16800
13,2750000,toyota,premio,2014,used,automatic,octane,72600
14,1500000,toyota,premio,2009,used,automatic,"octane, lpg",96580
15,2280000,nissan,x-trail,2013,used,automatic,octane,25000
16,650000,toyota,vista,2001,used,automatic,"octane, lpg",50000
17,3300000,ssangyong,korando,2020,used,automatic,"petrol, octane",20000
18,445000,toyota,corolla cross,1996,used,manual,"cng, octane",150000
19,3390000,toyota,prius,2020,reconditioned,automatic,"hybrid, electric, octane",26000
20,3650000,toyota,noah,2020,reconditioned,automatic,"hybrid, octane",92153
21,92000000,mercedes-benz,g-class,2022,reconditioned,automatic,petrol,6000
22,4800000,toyota,hilux,2018,used,manual,diesel,35000
23,1330000,toyota,rav4,2005,used,automatic,"cng, octane",92000
24,1085000,toyota,aqua,2013,used,automatic,"octane, lpg",68000
25,2795000,toyota,hiace,2013,used,automatic,"cng, octane",69000
26,1885000,toyota,premio,2007,used,automatic,"cng, octane",95000
27,2680000,toyota,c-hr,2017,used,automatic,"hybrid, octane",24000
28,2400000,toyota,axio,2020,reconditioned,automatic,hybrid,110000
29,1590000,toyota,sienta,2013,used,automatic,octane,68114
30,1580000,toyota,allion,2006,used,automatic,"cng, octane",78114
31,1565000,toyota,axio,2011,used,automatic,"cng, octane",69114
32,2050000,toyota,axio,2018,used,automatic,hybrid,72500
33,1145000,toyota,allion,2002,used,automatic,"cng, octane",92356
34,11600000,range rover,evoque,2021,used,automatic,octane,22000
35,2700000,toyota,allion,2017,used,automatic,lpg,111000
36,5500000,toyota,corolla cross,2024,reconditioned,automatic,"hybrid, octane",5
