price,brand,model,year,condition,transmission,fuel_type,kilometers_run,age,km_per_year
2450000,toyota,fielder,2020,reconditioned,automatic,hybrid,86000,5,17200.0
4500000,toyota,noah,2020,reconditioned,automatic,octane,68000,5,13600.0
2750000,honda,cr-v,2012,used,automatic,octane,92000,13,7076.923076923077
1350000,toyota,passo,2010,used,automatic,"octane, lpg",87369,15,5824.6
1760000,toyota,axio,2016,used,automatic,"hybrid, octane",66000,9,7333.333333333333
1395000,toyota,allion,2004,used,automatic,"cng, octane",62581,21,2980.0476190476193
1045000,toyota,corolla,2002,used,automatic,"cng, octane",93682,23,4073.1304347826085
1450000,toyota,prado,1998,used,automatic,"octane, lpg",127000,27,4703.7037037037035
860000,toyota,probox,2008,used,automatic,"cng, octane",79563,17,4680.176470588235
1720000,toyota,allion,2008,used,automatic,"cng, octane",94012,17,5530.117647058823
2750000,toyota,premio,2014,used,automatic,octane,72600,11,6600.0
1500000,toyota,premio,2009,used,automatic,"octane, lpg",96580,16,6036.25
2280000,nissan,x-trail,2013,used,automatic,octane,25000,12,2083.3333333333335
3300000,ssangyong,korando,2020,used,automatic,"petrol, octane",20000,5,4000.0
3390000,toyota,prius,2020,reconditioned,automatic,"hybrid, electric, octane",26000,5,5200.0
3650000,toyota,noah,2020,reconditioned,automatic,"hybrid, octane",92153,5,18430.6
4800000,toyota,hilux,2018,used,manual,diesel,35000,7,5000.0
1330000,toyota,rav4,2005,used,automatic,"cng, octane",92000,20,4600.0
1085000,toyota,aqua,2013,used,automatic,"octane, lpg",68000,12,5666.666666666667
2795000,toyota,hiace,2013,used,automatic,"cng, octane",69000,12,5750.0
1885000,toyota,premio,2007,used,automatic,"cng, octane",95000,18,5277.777777777777
2680000,toyota,c-hr,2017,used,automatic,"hybrid, octane",24000,8,3000.0
2400000,toyota,axio,2020,reconditioned,automatic,hybrid,110000,5,22000.0
1590000,toyota,sienta,2013,used,automatic,octane,68114,12,5676.166666666667
1580000,toyota,allion,2006,used,automatic,"cng, octane",78114,19,4111.263157894737
1565000,toyota,axio,2011,used,automatic,"cng, octane",69114,14,4936.714285714285
2050000,toyota,axio,2018,used,automatic,hybrid,72500,7,10357.142857142857
1145000,toyota,allion,2002,used,automatic,"cng, octane",92356,23,4015.478260869565
2700000,toyota,allion,2017,used,automatic,lpg,111000,8,13875.0
2599000,toyota,axio,2020,reconditioned,automatic,octane,48000,5,9600.0
4720000,honda,vezel,2021,reconditioned,automatic,"hybrid, octane",33071,4,8267.75
4370000,honda,vezel,2021,reconditioned,automatic,"hybrid, octane",42117,4,10529.25
3270000,toyota,voxy,2020,reconditioned,automatic,"hybrid, octane",67110,5,13422.0
1170000,mitsubishi,outlandar,2004,used,automatic,octane,76352,21,3635.809523809524
2550000,honda,grace,2020,reconditioned,automatic,"hybrid, octane",73479,5,14695.8
1535000,toyota,fielder,2010,used,automatic,octane,76352,15,5090.133333333333
1850000,toyota,aqua,2019,reconditioned,automatic,hybrid,63000,6,10500.0
4030000,honda,civic,2020,reconditioned,automatic,petrol,40000,5,8000.0
5650000,honda,cr-v,2021,used,automatic,octane,23159,4,5789.75
3200000,honda,accord,2017,used,automatic,octane,34500,8,4312.5
1225000,toyota,corolla,2004,used,automatic,"octane, lpg",91000,21,4333.333333333333
1280000,nissan,bluebird,2008,used,automatic,octane,72451,17,4261.823529411765
1450000,toyota,axio,2010,used,automatic,"cng, octane",90000,15,6000.0
3490000,toyota,c-hr,2020,reconditioned,automatic,"hybrid, octane",73000,5,14600.0
1650000,toyota,auris,2012,used,automatic,petrol,50000,13,3846.153846153846
3390000,toyota,premio,2017,used,automatic,"hybrid, octane",50040,8,6255.0
