cars,price,brand,model,year,condition,transmission,fuel_type,kilometers_run
https://bikroy.com/en/ad/toyota-fielder-ex-showroom-ready-2020-for-sale-dhaka-4,"Tk 2,450,000",Toyota,Fielder,2020,Reconditioned,Automatic,Hybrid,"86,000 km"
https://bikroy.com/en/ad/toyota-noah-si-mica-blue-ready-2020-for-sale-dhaka,"Tk 4,500,000",Toyota,Noah,2020,Reconditioned,Automatic,Octane,"68,000 km"
https://bikroy.com/en/ad/honda-cr-v-push-start-sunroof-2012-for-sale-dhaka,"Tk 2,750,000",Honda,CR-V,2012,Used,Automatic,Octane,"92,000 km"
https://bikroy.com/en/ad/toyota-hilux-2009-for-sale-dhaka-10,"Tk 1,800,000",Toyota,Hilux,2009,Used,Manual,Diesel,1 km
https://bikroy.com/en/ad/toyota-passo-sette-7-sit-beige-2010-for-sale-dhaka,"Tk 1,350,000",Toyota,Passo,2010,Used,Automatic,"Octane, LPG","87,369 km"
https://bikroy.com/en/ad/toyota-axio-fielder-push-start-2016-for-sale-dhaka,"Tk 1,760,000",Toyota,Axio,2016,Used,Automatic,"Hybrid, Octane","66,000 km"
https://bikroy.com/en/ad/toyota-allion-package-g-2004-for-sale-dhaka-12,"Tk 1,395,000",Toyota,Allion,2004,Used,Automatic,"CNG, Octane","62,581 km"
https://bikroy.com/en/ad/toyota-corolla-x-limited-2002-for-sale-dhaka-2,"Tk 1,045,000",Toyota,Corolla,2002,Used,Automatic,"CNG, Octane","93,682 km"
https://bikroy.com/en/ad/toyota-prado-landcruger-1998-for-sale-dhaka,"Tk 1,450,000",Toyota,Prado,1998,Used,Automatic,"Octane, LPG","127,000 km"
https://bikroy.com/en/ad/toyota-probox-2008-for-sale-dhaka-119,"Tk 860,000",Toyota,Probox,2008,Used,Automatic,"CNG, Octane","79,563 km"
https://bikroy.com/en/ad/toyota-allion-urgent-sell-2008-for-sale-dhaka,"Tk 1,720,000",Toyota,Allion,2008,Used,Automatic,"CNG, Octane","94,012 km"
https://bikroy.com/en/ad/toyota-land-cruiser-hard-top-jeep-1992-for-sale-dhaka,"Tk 1,700,000",Toyota,Land Cruiser,1992,Used,Manual,Diesel,"541,403 km"
https://bikroy.com/en/ad/toyota-harrier-z-leather-hybrid-2022-for-sale-dhaka-5,"Tk 8,600,000",Toyota,Harrier,2022,Reconditioned,Automatic,Hybrid,"16,800 km"
https://bikroy.com/en/ad/toyota-premio-fe-2014-for-sale-dhaka,"Tk 2,750,000",Toyota,Premio,2014,Used,Automatic,Octane,"72,600 km"
https://bikroy.com/en/ad/toyota-premio-fresh-new-shep-2009-for-sale-rangpur-division,"Tk 1,500,000",Toyota,Premio,2009,Used,Automatic,"Octane, LPG","96,580 km"
https://bikroy.com/en/ad/nissan-x-trail-2013-for-sale-dhaka-234,"Tk 2,280,000",Nissan,X-Trail,2013,Used,Automatic,Octane,"25,000 km"
https://bikroy.com/en/ad/toyota-vista-1999-2001-for-sale-dhaka,"Tk 650,000",Toyota,Vista,2001,Used,Automatic,"Octane, LPG","50,000 km"
https://bikroy.com/en/ad/ssangyong-korando-2020-for-sale-dhaka-4,"Tk 3,300,000",SsangYong,Korando,2020,Used,Automatic,"Petrol, Octane","20,000 km"
https://bikroy.com/en/ad/toyota-corolla-cross-corsa-1996-for-sale-dhaka,"Tk 445,000",Toyota,Corolla Cross,1996,Used,Manual,"CNG, Octane","150,000 km"
https://bikroy.com/en/ad/toyota-prius-phv-a-premium-navi-2020-for-sale-dhaka,"Tk 3,390,000",Toyota,Prius,2020,Reconditioned,Automatic,"Hybrid, Electric, Octane","26,000 km"
https://bikroy.com/en/ad/toyota-noah-full-loaded-si-wxb-2020-for-sale-dhaka,"Tk 3,650,000",Toyota,Noah,2020,Reconditioned,Automatic,"Hybrid, Octane","92,153 km"
https://bikroy.com/en/ad/mercedes-benz-g-class-brabus-v8-biturbo-2022-for-sale-dhaka,"Tk 92,000,000",Mercedes-Benz,G-Class,2022,Reconditioned,Automatic,Petrol,"6,000 km"
https://bikroy.com/en/ad/toyota-hilux-carryboy-doublecabin-2018-for-sale-dhaka,"Tk 4,800,000",Toyota,Hilux,2018,Used,Manual,Diesel,"35,000 km"
https://bikroy.com/en/ad/toyota-rav4-2005-for-sale-dhaka-788,"Tk 1,330,000",Toyota,RAV4,2005,Used,Automatic,"CNG, Octane","92,000 km"
https://bikroy.com/en/ad/toyota-aqua-g-2013-for-sale-dhaka-357,"Tk 1,085,000",Toyota,Aqua,2013,Used,Automatic,"Octane, LPG","68,000 km"
https://bikroy.com/en/ad/toyota-hiace-super-gl-full-fresh-2013-for-sale-dhaka,"Tk 2,795,000",Toyota,Hiace,2013,Used,Automatic,"CNG, Octane","69,000 km"
https://bikroy.com/en/ad/toyota-premio-f-g-superior-2007-for-sale-dhaka-5,"Tk 1,885,000",Toyota,Premio,2007,Used,Automatic,"CNG, Octane","95,000 km"
https://bikroy.com/en/ad/toyota-c-hr-g-led-45-great-2017-for-sale-dhaka,"Tk 2,680,000",Toyota,C-HR,2017,Used,Automatic,"Hybrid, Octane","24,000 km"
